[multiple] ops=('abs',) modes=4 rounds=5 n_shapes<=32 passes=3 warmup=0 output=/workspace/FlagGems/trident/kernel/bench_results_formal_20260910_multipass3 force=True
=== op abs (multiple) ===
round=1 suite=multiple op=abs kind=pointwise mode=triton n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=83.249000 e2e_us=112.816500 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[574763.441, 361.304, 101.838, 94.255, 88.902, 83.621, 82.453, 82.877, 341.206, 191.955, 67.884, 53405.398, 51673.637, 1217.776, 101.132, 98.051, 59.723, 56.885, 57.538, 59.455, 57.633, 57.388, 57.127, 58.425, 56.084, 55.588, 61.596, 52.421, 799.871, 370.97, 297.338, 269.349, 254.808, 209.318, 107.653, 69.199, 70.379, 64.97, 65.865, 71.345, 75.381, 312.503] e2e_samples_us=[574857.244, 373.508, 115.643, 103.397, 97.791, 91.848, 91.1, 91.053, 361.457, 214.369, 92.124, 53480.157, 53035.931, 2704.78, 109.99, 106.084, 67.373, 64.567, 65.264, 66.966, 64.873, 65.228, 82.823, 83.914, 81.445, 148.226, 1515.526, 1701.143, 850.332, 406.068, 329.687, 298.373, 284.132, 222.509, 116.033, 78.011, 94.65, 90.574, 90.683, 162.401, 2757.212, 1808.087]
round=1 suite=multiple op=abs kind=pointwise mode=torch_compile n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=215.517000 e2e_us=279.347000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[1713646.864, 439103.065, 633151.916, 264285.499, 582854.266, 323976.503, 592332.87, 468007.423, 3284.727, 588068.603, 296.534, 490291.71, 555654.805, 521823.462, 530.64, 257.098, 314.905, 226.513, 229.54, 221.376, 208.743, 213.763, 149.672, 213.355, 170.781, 204.705, 183.56, 202.274, 213.178, 201.713, 204.462, 186.424, 217.271, 183.96, 174.862, 191.771, 158.012, 194.871, 155.918, 182.596, 149.275, 199.777] e2e_samples_us=[1713685.447, 439136.29, 633184.338, 264321.936, 582888.519, 324006.034, 592374.08, 468039.314, 3306.509, 588108.567, 312.409, 490324.466, 557189.187, 523401.398, 550.014, 273.174, 329.369, 240.175, 242.642, 234.046, 221.375, 226.486, 161.892, 228.861, 184.222, 285.52, 1757.395, 1823.28, 226.943, 217.238, 217.559, 199.096, 229.83, 196.43, 187.245, 205.675, 170.707, 207.737, 168.258, 264.24, 1716.24, 1821.836]
round=1 suite=multiple op=abs kind=pointwise mode=torch_compile_cpp_wrapper n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=204.875500 e2e_us=262.028500 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[26842371.928, 5037184.39, 4411078.094, 3921706.195, 4436587.221, 5669421.127, 5359574.852, 4747434.709, 1108.244, 3872948.004, 395.259, 3824085.345, 3917173.696, 5151943.824, 530.701, 238.631, 261.133, 207.658, 186.302, 208.993, 182.861, 183.543, 140.35, 182.967, 141.889, 165.527, 154.922, 199.672, 217.465, 196.519, 192.601, 188.497, 182.04, 186.166, 184.004, 202.093, 156.537, 200.198, 169.691, 189.598, 143.587, 212.888] e2e_samples_us=[26842426.808, 5037261.854, 4411122.465, 3921786.844, 4436625.102, 5669462.639, 5359617.949, 4747480.429, 1128.59, 3872988.084, 408.151, 3824132.03, 3917225.244, 5151981.314, 547.957, 252.999, 273.834, 219.621, 197.626, 220.733, 194.287, 194.594, 151.363, 193.882, 153.988, 248.769, 1727.249, 1821.595, 231.346, 210.119, 205.593, 201.476, 195.58, 198.703, 196.675, 215.14, 169.965, 212.906, 182.403, 271.058, 1712.962, 1835.632]
round=1 suite=multiple op=abs kind=pointwise mode=trident n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=True host_us=109.225500 e2e_us=355.575000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[1750033.664, 897766.776, 828878.248, 849922.502, 1042292.344, 955391.3, 1013076.011, 987763.667, 1417.096, 1082195.306, 1182592.437, 1099714.169, 738972.56, 1378406.532, 1161.404, 160.274, 122.872, 98.749, 939.603, 179.302, 127.698, 104.236, 81.37, 107.96, 99.227, 98.956, 92.331, 110.491, 74.708, 73.053, 80.29, 71.823, 77.595, 74.604, 79.103, 76.991, 72.838, 81.958, 81.953, 76.149, 69.126, 97.035] e2e_samples_us=[1750110.314, 897882.807, 828952.482, 849990.064, 1042363.526, 955462.673, 1013142.589, 987832.146, 1443.159, 1082274.63, 1182673.609, 1099795.815, 739044.946, 1378491.277, 1182.303, 170.454, 131.573, 107.229, 967.809, 190.503, 137.521, 113.639, 145.515, 160.181, 156.977, 361.385, 4441.714, 4880.522, 82.52, 81.451, 89.283, 80.508, 86.379, 82.666, 87.278, 88.292, 137.986, 146.918, 146.71, 349.765, 4438.155, 4878.761]
round=2 suite=multiple op=abs kind=pointwise mode=triton n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=78.723000 e2e_us=102.029000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[625456.766, 304.543, 112.682, 106.332, 99.799, 93.847, 97.212, 82.847, 319.54, 200.552, 74.604, 55478.261, 54330.044, 1534.58, 140.852, 96.354, 84.944, 80.834, 76.664, 78.437, 78.914, 75.33, 75.9, 74.839, 73.422, 75.272, 85.536, 76.945, 78.532, 76.556, 77.19, 74.61, 74.018, 73.854, 76.408, 79.946, 79.257, 77.667, 75.167, 75.566, 76.994, 75.795] e2e_samples_us=[625497.086, 318.116, 129.373, 117.022, 110.444, 103.64, 108.383, 92.197, 338.491, 222.471, 98.345, 55532.532, 55750.36, 3021.851, 153.682, 107.909, 95.971, 91.107, 87.084, 88.792, 89.417, 85.252, 99.508, 99.31, 97.606, 166.139, 1538.274, 1576.306, 88.486, 86.237, 87.295, 84.797, 84.905, 83.711, 86.925, 89.96, 102.289, 101.769, 98.988, 165.714, 1526.895, 1565.65]
round=2 suite=multiple op=abs kind=pointwise mode=torch_compile n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=148.449500 e2e_us=208.708000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[1684482.05, 445061.231, 674249.474, 274154.72, 592332.453, 338470.136, 377244.764, 329576.703, 549.201, 438535.162, 240.612, 359530.632, 450029.109, 373053.701, 386.784, 172.848, 200.349, 148.44, 143.302, 148.459, 138.394, 142.062, 109.987, 138.544, 107.765, 132.134, 188.548, 150.763, 143.551, 126.022, 136.454, 158.32, 129.721, 120.743, 119.505, 123.474, 103.186, 126.344, 103.974, 119.605, 103.977, 120.939] e2e_samples_us=[1684519.848, 445096.567, 674284.608, 274190.642, 592365.56, 338501.32, 377280.14, 329608.334, 565.572, 438568.26, 252.283, 359574.973, 451553.196, 374639.958, 399.821, 183.352, 210.087, 157.63, 152.488, 157.341, 147.355, 152.582, 124.843, 153.523, 123.795, 225.253, 1753.459, 1780.294, 152.984, 135.135, 148.445, 168.129, 138.408, 129.603, 128.183, 133.436, 119.054, 142.249, 121.123, 207.329, 1685.918, 1753.533]
round=2 suite=multiple op=abs kind=pointwise mode=torch_compile_cpp_wrapper n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=157.954000 e2e_us=231.512500 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[26550842.528, 5747878.628, 6304233.52, 4651566.085, 4188974.266, 3930549.926, 3878180.404, 4023366.985, 703.595, 5760210.373, 418.177, 5639623.494, 4974498.649, 3946755.928, 835.081, 218.663, 262.29, 193.52, 162.905, 161.894, 151.325, 154.014, 107.716, 168.56, 123.035, 148.579, 136.25, 146.986, 130.237, 125.288, 130.198, 133.79, 123.703, 124.348, 117.477, 124.503, 103.719, 126.775, 112.83, 123.147, 100.112, 136.74] e2e_samples_us=[26550900.452, 5747929.762, 6304268.596, 4651621.419, 4189046.965, 3930589.192, 3878219.727, 4023419.928, 720.78, 5760249.196, 435.645, 5639665.465, 4974548.309, 3946798.427, 850.522, 230.936, 273.676, 203.958, 172.1, 171.189, 160.789, 163.507, 123.552, 179.571, 137.874, 232.089, 1700.533, 1777.256, 139.59, 134.545, 140.83, 143.384, 132.992, 133.591, 126.546, 133.436, 118.987, 143.191, 129.391, 208.926, 1670.693, 1767.157]
round=2 suite=multiple op=abs kind=pointwise mode=trident n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=True host_us=115.893000 e2e_us=296.303500 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[1872913.034, 1150079.417, 1070771.162, 1057391.159, 1333642.877, 1248258.275, 1292422.494, 1334618.536, 1901.805, 1482057.729, 1587371.642, 1451499.628, 792759.686, 1325302.373, 1074.12, 183.033, 133.795, 114.0, 231.838, 118.544, 117.786, 110.69, 89.99, 123.319, 110.528, 110.906, 94.784, 109.005, 74.925, 69.824, 73.865, 68.233, 72.625, 69.689, 75.799, 73.352, 69.044, 78.393, 78.318, 73.571, 66.98, 91.343] e2e_samples_us=[1873054.006, 1150161.341, 1070844.889, 1057473.767, 1333731.897, 1248350.934, 1292507.313, 1334715.999, 1933.716, 1482198.182, 1587458.595, 1451582.133, 792837.17, 1325375.35, 1095.975, 194.633, 144.533, 124.283, 244.53, 128.885, 127.649, 120.454, 152.71, 167.672, 165.947, 370.177, 4443.25, 4884.27, 83.259, 77.757, 81.775, 76.414, 80.878, 77.609, 83.85, 84.28, 133.072, 142.053, 142.698, 348.077, 4429.468, 4873.145]
round=3 suite=multiple op=abs kind=pointwise mode=triton n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=53.328500 e2e_us=83.937000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[505006.85, 767.552, 262.982, 241.182, 226.388, 214.542, 155.227, 118.297, 380.03, 201.352, 64.505, 47047.408, 45715.951, 613.56, 103.708, 68.362, 57.795, 54.424, 53.599, 54.09, 52.275, 51.217, 51.855, 50.386, 50.093, 50.344, 57.875, 53.058, 51.579, 51.356, 52.144, 49.56, 49.82, 49.263, 48.817, 50.503, 51.287, 50.516, 51.557, 50.502, 52.236, 50.843] e2e_samples_us=[505090.075, 799.004, 297.756, 263.848, 249.12, 235.903, 170.686, 126.249, 399.89, 225.757, 89.985, 47102.961, 47105.19, 2100.78, 113.05, 77.27, 65.135, 61.397, 60.809, 61.041, 59.202, 59.539, 77.889, 76.924, 75.937, 143.768, 1511.116, 1550.079, 58.581, 58.28, 58.854, 56.428, 56.349, 56.577, 55.672, 59.142, 76.873, 76.064, 76.971, 142.728, 1503.58, 1547.519]
round=3 suite=multiple op=abs kind=pointwise mode=torch_compile n_shapes=14 passes=3 shapes=[[1024, 1], [64, 64], [64, 64, 1], [1024, 16], [64, 64, 16], [1024, 256], [64, 64, 256], [1024, 4096], [4096, 4096], [64, 512, 512], [64, 64, 4096], [1024, 65536], [1073741824], [1024, 1024, 1024]] dtype=torch.float16 skip_result_normalize=False host_us=260.970500 e2e_us=302.138000 shape_indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] pass_indices=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2] host_samples_us=[2034265.845, 571870.556, 835014.99, 372275.91, 767690.53, 443950.11, 506327.382, 464270.957, 2773.438, 572236.437, 279.628, 463786.611, 550852.014, 506656.445, 1071.711, 287.565, 364.059, 260.03, 268.355, 286.669, 268.908, 243.982, 154.679, 215.835, 162.291, 234.634, 261.911, 222.073, 227.504, 184.99, 197.371, 196.236, 187.65, 184.895, 177.842, 187.236, 144.739, 190.15, 163.726, 186.86, 147.656, 188.345] e2e_samples_us=[2034313.496, 571914.019, 835055.228, 372315.511, 767745.526, 443986.091, 506359.906, 464304.8, 2794.835, 572266.484, 294.149, 463833.59, 552377.646, 508234.03, 1090.289, 303.06, 379.117, 274.01, 285.34, 302.312, 283.329, 257.239, 167.2, 228.583, 174.818, 301.964, 1830.785, 1845.388, 241.572, 197.9, 211.103, 209.431, 201.764, 200.294, 191.149, 200.266, 157.33, 204.613, 177.168, 267.612, 1717.259, 1813.933]
